Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,46.660000,47.419998,46.540001,46.759998,43.555000,27913900
2015-01-05,46.369999,46.730000,46.250000,46.330002,43.154472,39673900
2015-01-06,46.380001,46.750000,45.540001,45.650002,42.521076,36447900
2015-01-07,45.980000,46.459999,45.490002,46.230000,43.061325,29114100
2015-01-08,46.750000,47.750000,46.720001,47.590000,44.328106,29645200
2015-01-09,47.610001,47.820000,46.900002,47.189999,43.955528,23944200
2015-01-12,47.419998,47.540001,46.360001,46.599998,43.405960,23651900
2015-01-13,46.970001,47.910000,46.060001,46.360001,43.182419,35270600
2015-01-14,45.959999,46.240002,45.619999,45.959999,42.809830,29675300
2015-01-15,46.220001,46.380001,45.410000,45.480000,42.362728,32750800
2015-01-16,45.310001,46.279999,45.169998,46.240002,43.070637,35695300
2015-01-20,46.299999,46.650002,45.570000,46.389999,43.210358,36161900
2015-01-21,45.939999,46.139999,45.480000,45.919998,42.772564,39081100
2015-01-22,46.380001,47.139999,46.080002,47.130001,43.899639,35898000
2015-01-23,47.360001,47.389999,46.799999,47.180000,43.946213,26211600
2015-01-26,47.000000,47.130001,46.240002,47.009998,43.787861,42525500
2015-01-27,42.950001,43.200001,42.110001,42.660000,39.736023,169164000
2015-01-28,42.740002,42.790001,41.160000,41.189999,38.366768,84507100
2015-01-29,40.930000,42.119999,40.790001,42.009998,39.130566,63585300
2015-01-30,41.549999,41.580002,40.349998,40.400002,37.630920,78004900
2015-02-02,40.590000,41.369999,40.230000,41.279999,38.450603,50352500
2015-02-03,41.630001,41.930000,41.049999,41.599998,38.748669,52082400
2015-02-04,41.939999,42.209999,41.360001,41.840000,38.972233,41614800
2015-02-05,42.220001,42.639999,41.860001,42.450001,39.540409,36548200
2015-02-06,42.680000,42.790001,42.150002,42.410000,39.503155,34616600
2015-02-09,42.240002,42.740002,42.209999,42.360001,39.456585,31381100
2015-02-10,42.740002,42.770000,42.180000,42.599998,39.680126,29670700
2015-02-11,42.650002,42.650002,42.209999,42.380001,39.475208,38262500
2015-02-12,42.660000,43.090000,42.509998,43.090000,40.136551,33268800
2015-02-13,43.380001,43.869999,43.150002,43.869999,40.863087,40264900
2015-02-17,43.970001,44.000000,43.189999,43.580002,40.881844,33695700
2015-02-18,43.630001,43.700001,43.389999,43.529999,40.834942,27111700
2015-02-19,43.180000,43.529999,43.049999,43.500000,40.806797,27603400
2015-02-20,43.509998,43.880001,43.290001,43.860001,41.144508,29721100
2015-02-23,43.700001,44.189999,43.650002,44.150002,41.416557,32518800
2015-02-24,44.150002,44.299999,43.919998,44.090000,41.360271,25271700
2015-02-25,43.950001,44.090000,43.799999,43.990002,41.266464,29759800
2015-02-26,43.990002,44.230000,43.889999,44.060001,41.332130,28957300
2015-02-27,44.130001,44.200001,43.660000,43.849998,41.135124,33807700
2015-03-02,43.669998,44.189999,43.549999,43.880001,41.163273,31924000
2015-03-03,43.560001,43.830002,43.090000,43.279999,40.600418,31748600
2015-03-04,43.009998,43.209999,42.880001,43.060001,40.394043,25748700
2015-03-05,43.070000,43.240002,42.820000,43.110001,40.440945,23193500
2015-03-06,43.000000,43.110001,42.150002,42.360001,39.737381,36248800
2015-03-09,42.189999,43.130001,42.189999,42.849998,40.197037,32108000
2015-03-10,42.349998,42.709999,42.029999,42.029999,39.427807,39159700
2015-03-11,42.310001,42.369999,41.840000,41.980000,39.380898,32215300
2015-03-12,41.330002,41.650002,40.860001,41.020000,38.480343,59992500
2015-03-13,40.700001,41.470001,40.610001,41.380001,38.818050,58007700
2015-03-16,41.470001,41.639999,41.279999,41.560001,38.986904,35273500
2015-03-17,41.369999,41.830002,41.150002,41.700001,39.118240,31673400
2015-03-18,41.430000,42.830002,41.330002,42.500000,39.868710,44194800
2015-03-19,42.259998,42.590000,42.220001,42.290001,39.671715,33879100
2015-03-20,42.560001,42.980000,42.490002,42.880001,40.225189,71904500
2015-03-23,42.880001,43.130001,42.779999,42.860001,40.206421,26246100
2015-03-24,42.779999,43.169998,42.750000,42.900002,40.243950,25513300
2015-03-25,42.919998,42.930000,41.439999,41.459999,38.893097,43469900
2015-03-26,41.220001,41.610001,40.919998,41.209999,38.658577,37495600
2015-03-27,41.119999,41.430000,40.830002,40.970001,38.433437,34401400
2015-03-30,41.099998,41.540001,40.910000,40.959999,38.424053,35049700
2015-03-31,40.779999,41.029999,40.540001,40.660000,38.142635,34887200
2015-04-01,40.599998,40.759998,40.310001,40.720001,38.198917,36865300
2015-04-02,40.660000,40.740002,40.119999,40.290001,37.795536,37487500
2015-04-06,40.340000,41.779999,40.180000,41.549999,38.977528,39223700
2015-04-07,41.610001,41.910000,41.310001,41.529999,38.958767,28809400
2015-04-08,41.459999,41.689999,41.040001,41.419998,38.855576,24753400
2015-04-09,41.250000,41.619999,41.250000,41.480000,38.911869,25723900
2015-04-10,41.630001,41.950001,41.410000,41.720001,39.137005,28022000
2015-04-13,41.400002,42.060001,41.389999,41.759998,39.174526,30276700
2015-04-14,41.799999,42.029999,41.389999,41.650002,39.071331,24244400
2015-04-15,41.759998,42.459999,41.680000,42.259998,39.643566,27343600
2015-04-16,41.950001,42.340000,41.820000,42.160000,39.549763,22509700
2015-04-17,41.669998,41.740002,41.160000,41.619999,39.043194,42387600
2015-04-20,41.730000,43.169998,41.680000,42.910000,40.253326,46057700
